"Survey_number","Date","date_ymd","survey_send","survey_begin","survey_end","ranking_time_people","support_felt","run_description","community_inclusion","how_energising","slowed_spedup_natural","enjoyment","fatigued","pain_of_fatigue","exertion","just_before","came_with","time","totalruns","gender","age","Athlete_ID"
491,"23/04/2016","2016-04-23","9:45:00","2016-04-23 12:15:52","2016-04-23 12:18:56",3,7,4,6,5,1,5,4,NA,8,2,4,34.26,110,"W",8,"QFZDT4P"
492,"23/04/2016","2016-04-23","9:45:00","2016-04-23 12:22:16","2016-04-23 12:24:34",3,6,1,6,6,4,6,6,5,12,2,3,20.66,87,"M",11,"58NAII0"
493,"23/04/2016","2016-04-23","9:45:00","2016-04-23 12:18:41","2016-04-23 12:24:51",2,7,1,6,5,4,6,4,NA,9,1,2,28.31,28,"W",4,"1WYSHFQ"
494,"23/04/2016","2016-04-23","9:45:00","2016-04-23 12:34:59","2016-04-23 12:36:22",2,6,2,6,6,2,6,6,6,12,3,2,21.23,86,"M",9,"W64SQKB"
495,"23/04/2016","2016-04-23","9:45:00","2016-04-23 12:35:29","2016-04-23 12:38:04",2,6,1,6,6,3,6,4,NA,9,2,3,21.63,107,"M",11,"64F5HEP"
496,"23/04/2016","2016-04-23","9:45:00","2016-04-23 13:09:51","2016-04-23 13:12:31",3,7,1,7,7,4,7,5,3,7,2,4,28.65,81,"W",10,"H6UW40L"
497,"23/04/2016","2016-04-23","9:45:00","2016-04-23 13:24:43","2016-04-23 13:26:39",3,7,2,7,7,3,7,4,NA,6,2,3,31.26,69,"W",10,"2K05KHM"
498,"23/04/2016","2016-04-23","9:45:00","2016-04-23 13:27:34","2016-04-23 13:29:04",3,7,3,6,7,3,6,7,6,10,2,3,33.06,35,"W",8,"GGC9JED"
499,"23/04/2016","2016-04-23","9:45:00","2016-04-23 14:34:15","2016-04-23 14:35:55",2,6,1,6,6,4,7,5,5,12,1,1,30.25,71,"M",9,"MP52ML7"
500,"23/04/2016","2016-04-23","9:45:00","2016-04-23 14:39:59","2016-04-23 14:42:39",3,6,3,6,5,3,5,4,NA,8,2,3,24.3,113,"M",10,"CCY9CBO"
501,"23/04/2016","2016-04-23","9:45:00","2016-04-23 15:02:25","2016-04-23 15:04:11",3,7,2,7,7,3,7,4,NA,8,2,2,34,140,"W",11,"V4Y6VCO"
502,"23/04/2016","2016-04-23","9:45:00","2016-04-23 15:04:49","2016-04-23 15:06:11",3,5,1,4,5,4,5,4,NA,8,3,1,25.21,110,"M",8,"UN7P5LY"
503,"23/04/2016","2016-04-23","9:45:00","2016-04-23 15:07:29","2016-04-23 15:10:21",3,6,2,6,6,3,6,5,4,11,2,3,32.25,307,"M",11,"IDYTNOY"
504,"23/04/2016","2016-04-23","9:45:00","2016-04-23 15:10:58","2016-04-23 15:15:09",3,7,1,6,6,4,5,5,3,7,2,1,34.86,150,"M",13,"A56W1BS"
505,"23/04/2016","2016-04-23","9:45:00","2016-04-23 15:13:58","2016-04-23 15:15:27",2,7,1,7,7,4,7,6,6,12,2,1,29.53,163,"M",11,"FRMQFMD"
506,"23/04/2016","2016-04-23","9:45:00","2016-04-23 16:12:37","2016-04-23 16:13:58",3,5,1,5,4,4,5,5,5,10,2,2,22.05,112,"M",5,"3LKSEZ9"
507,"23/04/2016","2016-04-23","9:45:00","2016-04-23 16:15:20","2016-04-23 16:18:27",2,5,1,5,3,4,5,3,NA,6,2,4,27.83,115,"W",8,"X6HKUK9"
508,"23/04/2016","2016-04-23","9:45:00","2016-04-23 18:31:29","2016-04-23 18:33:32",3,7,1,7,6,4,6,6,5,11,2,4,30.6,68,"W",8,"S00XCBB"
509,"23/04/2016","2016-04-23","9:45:00","2016-04-23 18:38:23","2016-04-23 18:39:49",3,6,1,6,5,4,5,5,4,10,2,3,28.25,127,"M",5,"B42GXHB"
510,"23/04/2016","2016-04-23","9:45:00","2016-04-24 08:07:39","2016-04-24 08:10:52",2,7,1,7,6,4,4,4,NA,8,1,3,23.23,69,"M",7,"YAJTARS"
511,"23/04/2016","2016-04-23","9:45:00","2016-04-23 20:18:04","2016-04-23 20:20:16",3,6,4,6,6,4,6,6,5,12,2,4,29.18,34,"M",10,"AAE21Z8"
512,"23/04/2016","2016-04-23","9:45:00","2016-04-23 20:51:09","2016-04-23 20:53:27",2,5,1,6,6,4,7,6,4,13,2,2,22,40,"M",9,"Y0NMXE1"
513,"23/04/2016","2016-04-23","9:45:00","2016-04-23 20:51:51","2016-04-23 20:53:43",3,5,4,7,7,3,7,6,5,3,2,4,31.2,103,"W",7,"06249ZB"
514,"23/04/2016","2016-04-23","9:45:00","2016-04-24 08:01:36","2016-04-24 08:04:21",3,7,1,7,7,4,7,4,NA,8,2,4,34.4,19,"W",10,"OR3I1V0"
515,"23/04/2016","2016-04-23","9:45:00","2016-04-24 08:07:39","2016-04-24 08:10:52",2,6,1,5,6,4,5,4,NA,11,2,2,23.23,69,"M",7,"YAJTARS"
516,"23/04/2016","2016-04-23","9:45:00","2016-04-24 08:39:34","2016-04-24 08:41:16",3,4,1,4,5,4,5,5,4,10,1,1,29,79,"M",9,"YIUDRH5"
517,"23/04/2016","2016-04-23","9:45:00","2016-04-24 10:54:00","2016-04-24 10:56:08",3,6,3,7,6,3,7,4,NA,8,2,3,30.61,55,"M",11,"OCFXODF"
518,"23/04/2016","2016-04-23","9:45:00","2016-04-24 13:48:00","2016-04-24 13:50:01",3,5,1,5,4,4,5,5,4,8,2,2,26.36,147,"W",9,"9G5J3BV"
519,"23/04/2016","2016-04-23","9:45:00","2016-04-24 19:13:43","2016-04-24 19:15:28",3,6,1,6,6,4,7,5,5,12,2,2,16.8,87,"M",4,"SN7HA47"
520,"23/04/2016","2016-04-23","9:45:00","2016-04-25 10:05:25","2016-04-25 10:14:24",3,7,2,7,6,3,7,3,NA,7,2,2,22.66,36,"M",9,"6S8HNB0"
521,"23/04/2016","2016-04-23","9:45:00","2016-04-25 16:05:13","2016-04-25 16:06:46",1,5,1,5,5,4,6,5,4,9,2,2,26.3,207,"M",9,"GLCMOCE"
522,"23/04/2016","2016-04-23","9:45:00","2016-04-25 17:10:41","2016-04-25 17:13:43",3,4,3,4,4,1,5,1,NA,4,2,3,31.28,23,"W",8,"OC4NZ6D"
523,"30/04/2016","2016-04-30","9:45:00","2016-04-30 10:18:33","2016-04-30 10:20:08",3,7,3,7,7,1,7,2,NA,4,2,3,30.95,62,"W",4,"8FQ70LO"
524,"30/04/2016","2016-04-30","9:45:00","2016-04-30 10:19:25","2016-04-30 10:20:51",2,5,1,6,5,4,6,4,NA,12,2,4,27.45,135,"W",6,"YCJW583"
525,"30/04/2016","2016-04-30","9:45:00","2016-04-30 10:18:33","2016-04-30 10:21:05",3,4,1,2,5,4,6,5,4,9,3,1,27.95,67,"W",9,"MCDXPCO"
526,"30/04/2016","2016-04-30","9:45:00","2016-04-30 10:20:29","2016-04-30 10:22:11",3,3,1,3,7,4,6,4,NA,10,1,1,35.5,16,"W",8,"1MHBZLP"
527,"30/04/2016","2016-04-30","9:45:00","2016-04-30 10:25:15","2016-04-30 10:27:17",3,5,1,5,5,4,6,5,4,10,2,2,24.58,41,"M",11,"ITPAZM5"
528,"30/04/2016","2016-04-30","9:45:00","2016-04-30 10:23:44","2016-04-30 10:27:41",3,6,4,7,5,3,6,5,6,8,2,4,28.08,103,"W",7,"06249ZB"
529,"30/04/2016","2016-04-30","9:45:00","2016-04-30 10:34:16","2016-04-30 10:35:41",3,6,1,6,6,4,7,5,5,10,1,1,28.65,51,"M",9,"R9P2TIW"
530,"30/04/2016","2016-04-30","9:45:00","2016-04-30 10:36:52","2016-04-30 10:39:36",2,5,4,6,5,2,4,4,NA,10,1,4,28.06,53,"W",10,"U9JJJC3"
531,"30/04/2016","2016-04-30","9:45:00","2016-04-30 10:37:04","2016-04-30 10:41:21",3,6,1,6,5,4,4,6,5,10,2,2,26.51,62,"M",9,"8JA1MZE"
532,"30/04/2016","2016-04-30","9:45:00","2016-04-30 10:38:24","2016-04-30 10:41:56",2,6,1,7,6,4,6,6,5,11,3,3,22.98,113,"M",10,"CCY9CBO"
533,"30/04/2016","2016-04-30","9:45:00","2016-04-30 10:42:51","2016-04-30 10:45:19",2,5,1,4,4,4,6,6,5,12,1,1,25.36,23,"W",6,"SBDZA8L"
534,"30/04/2016","2016-04-30","9:45:00","2016-04-30 10:48:28","2016-04-30 10:49:41",3,5,1,6,5,4,5,6,5,12,2,3,27.6,127,"M",5,"B42GXHB"
535,"30/04/2016","2016-04-30","9:45:00","2016-04-30 10:59:41","2016-04-30 11:02:26",3,6,1,6,6,4,7,6,4,11,2,4,27.18,93,"W",10,"I0EXSXN"
536,"30/04/2016","2016-04-30","9:45:00","2016-04-30 11:02:28","2016-04-30 11:05:15",3,5,4,6,5,1,4,5,2,7,3,4,37.56,110,"W",8,"QFZDT4P"
537,"30/04/2016","2016-04-30","9:45:00","2016-04-30 11:13:16","2016-04-30 11:15:23",3,5,1,6,6,4,6,4,NA,9,2,2,29.9,307,"M",11,"IDYTNOY"
538,"30/04/2016","2016-04-30","9:45:00","2016-04-30 11:22:15","2016-04-30 11:23:28",3,7,2,7,7,3,7,4,NA,8,2,4,30.8,29,"W",7,"JTO23Q4"
539,"30/04/2016","2016-04-30","9:45:00","2016-04-30 11:26:59","2016-04-30 11:29:14",2,6,4,6,6,4,6,6,5,11,2,4,28.68,34,"M",10,"AAE21Z8"
540,"30/04/2016","2016-04-30","9:45:00","2016-04-30 12:05:21","2016-04-30 12:07:09",2,6,1,6,6,4,6,6,4,12,2,3,21.86,118,"M",6,"87J50HU"
541,"30/04/2016","2016-04-30","9:45:00","2016-04-30 12:07:27","2016-04-30 12:09:16",2,6,1,6,6,3,6,5,4,11,2,3,20.81,107,"M",11,"64F5HEP"
542,"30/04/2016","2016-04-30","9:45:00","2016-04-30 12:20:00","2016-04-30 12:22:15",2,5,1,6,6,4,6,6,4,12,3,2,28.08,28,"W",4,"1WYSHFQ"
543,"30/04/2016","2016-04-30","9:45:00","2016-04-30 12:25:26","2016-04-30 12:26:39",3,5,1,4,5,4,4,6,5,12,1,2,22.01,112,"M",5,"3LKSEZ9"
544,"30/04/2016","2016-04-30","9:45:00","2016-04-30 12:28:56","2016-04-30 12:30:12",2,7,1,7,7,4,7,6,6,13,2,1,28.11,163,"M",11,"FRMQFMD"
545,"30/04/2016","2016-04-30","9:45:00","2016-04-30 12:36:26","2016-04-30 12:38:08",2,5,1,5,6,4,6,5,2,9,2,2,19.38,231,"M",6,"75FJWI3"
546,"30/04/2016","2016-04-30","9:45:00","2016-04-30 12:40:28","2016-04-30 12:42:03",3,7,3,7,7,2,6,7,7,14,2,3,40.45,39,"W",6,"8YV0RBQ"
547,"30/04/2016","2016-04-30","9:45:00","2016-04-30 12:38:46","2016-04-30 12:42:49",2,5,3,5,5,3,5,6,5,10,2,4,33.78,64,"W",6,"RPO112V"
548,"30/04/2016","2016-04-30","9:45:00","2016-04-30 14:40:09","2016-04-30 14:43:30",3,7,1,7,6,4,5,6,3,11,1,1,27.96,55,"M",11,"OCFXODF"
549,"30/04/2016","2016-04-30","9:45:00","2016-04-30 14:42:15","2016-04-30 14:44:09",2,7,1,7,6,4,5,7,5,11,2,3,25.41,48,"W",7,"D912EIZ"
550,"30/04/2016","2016-04-30","9:45:00","2016-04-30 15:09:34","2016-04-30 15:12:00",3,7,3,7,7,3,7,5,3,8,2,3,37.3,140,"W",11,"V4Y6VCO"
551,"30/04/2016","2016-04-30","9:45:00","2016-04-30 15:23:39","2016-04-30 15:26:21",2,7,1,7,7,4,7,6,2,13,2,3,24.43,75,"W",7,"16NC4JI"
552,"30/04/2016","2016-04-30","9:45:00","2016-04-30 15:35:40","2016-04-30 15:37:19",2,4,1,5,5,4,5,4,NA,8,1,2,31.91,136,"W",9,"572PXPF"
553,"30/04/2016","2016-04-30","9:45:00","2016-04-30 16:48:10","2016-04-30 16:50:06",3,7,1,7,6,4,6,4,NA,9,2,4,25.05,36,"W",8,"06S11VE"
554,"30/04/2016","2016-04-30","9:45:00","2016-04-30 17:24:14","2016-04-30 17:27:41",3,5,1,5,5,4,5,5,3,10,2,4,34.9,150,"M",13,"A56W1BS"
555,"30/04/2016","2016-04-30","9:45:00","2016-04-30 16:54:53","2016-04-30 17:29:26",3,4,1,5,7,4,5,3,NA,10,1,1,24.51,110,"M",8,"UN7P5LY"
556,"30/04/2016","2016-04-30","9:45:00","2016-04-30 17:52:48","2016-04-30 17:56:21",3,6,2,5,5,4,5,5,5,10,2,2,35.73,33,"W",10,"HJHYBWK"
557,"30/04/2016","2016-04-30","9:45:00","2016-04-30 18:18:47","2016-04-30 18:20:19",2,6,1,6,6,4,6,4,NA,12,1,1,29.48,71,"M",9,"MP52ML7"
558,"30/04/2016","2016-04-30","9:45:00","2016-04-30 18:36:56","2016-04-30 18:40:15",3,6,1,6,6,4,7,4,NA,13,1,2,22.41,39,"M",5,"A3ZSOC4"
559,"30/04/2016","2016-04-30","9:45:00","2016-04-30 19:00:44","2016-04-30 19:02:43",2,5,1,5,5,4,5,5,4,9,3,2,26.03,28,"M",8,"EVYTA0Y"
560,"30/04/2016","2016-04-30","9:45:00","2016-04-30 19:16:54","2016-04-30 19:18:44",2,7,1,6,6,4,7,5,3,12,2,4,24.45,147,"W",9,"9G5J3BV"
561,"30/04/2016","2016-04-30","9:45:00","2016-04-30 22:07:57","2016-04-30 22:11:20",1,4,1,6,6,4,7,5,1,10,2,3,23.75,59,"W",4,"9OEPDL4"
562,"30/04/2016","2016-04-30","9:45:00","2016-04-30 23:11:12","2016-04-30 23:14:46",2,7,1,7,7,4,7,4,NA,9,2,3,31.65,28,"W",8,"6EO0595"
563,"30/04/2016","2016-04-30","9:45:00","2016-05-01 08:58:04","2016-05-01 09:01:35",3,7,1,7,7,4,7,5,2,8,2,3,33.45,19,"W",10,"OR3I1V0"
564,"30/04/2016","2016-04-30","9:45:00","2016-05-01 17:28:27","2016-05-01 17:30:16",2,6,1,6,6,4,5,5,6,15,2,4,19.51,38,"M",8,"4GAMTFR"
565,"30/04/2016","2016-04-30","9:45:00","2016-05-01 18:03:37","2016-05-01 18:11:40",3,6,1,6,6,4,7,5,1,8,1,1,29.66,38,"M",7,"LSOEMAJ"
566,"30/04/2016","2016-04-30","9:45:00","2016-05-01 20:39:59","2016-05-01 20:46:59",3,4,1,4,5,4,5,6,5,11,1,1,28.5,79,"M",9,"YIUDRH5"
567,"30/04/2016","2016-04-30","9:45:00","2016-05-02 09:18:24","2016-05-02 09:21:04",3,5,1,6,5,4,6,4,NA,9,2,2,22.73,83,"M",4,"0V5N7F7"
568,"30/04/2016","2016-04-30","9:45:00","2016-05-02 16:40:04","2016-05-02 16:45:57",2,6,1,5,7,4,6,5,5,13,2,2,21.98,40,"M",9,"Y0NMXE1"
569,"30/04/2016","2016-04-30","9:45:00","2016-05-02 20:33:33","2016-05-02 20:53:31",2,4,1,5,3,4,6,5,2,9,1,1,26.75,115,"W",8,"X6HKUK9"
570,"30/04/2016","2016-04-30","9:45:00","2016-05-03 20:51:16","2016-05-03 20:54:25",2,7,1,5,6,4,5,6,5,9,2,3,29.93,43,"W",5,"CZJSUBT"
571,"30/04/2016","2016-04-30","9:45:00","2016-05-06 15:25:59","2016-05-06 15:29:49",1,5,1,5,6,4,6,5,4,12,2,1,25,207,"M",9,"GLCMOCE"
572,"7/5/16","2016-05-07","9:45:00","2016-05-07 10:31:00","2016-05-07 10:32:21",3,5,1,5,5,4,6,6,3,9,2,2,29.56,62,"W",4,"8FQ70LO"
574,"7/5/16","2016-05-07","9:45:00","2016-05-07 10:42:18","2016-05-07 10:45:33",2,7,2,7,7,2,6,7,5,14,2,2,25.1,45,"W",9,"LMY75FN"
575,"7/5/16","2016-05-07","9:45:00","2016-05-07 11:29:16","2016-05-07 11:30:41",3,7,1,7,7,3,7,4,NA,8,2,3,30.41,29,"W",7,"JTO23Q4"
576,"7/5/16","2016-05-07","9:45:00","2016-05-07 11:30:53","2016-05-07 11:31:55",3,3,1,4,4,4,5,4,NA,8,1,1,17.95,62,"M",4,"Z9QFC7R"
577,"7/5/16","2016-05-07","9:45:00","2016-05-07 11:31:49","2016-05-07 11:34:03",3,6,1,6,6,4,5,5,5,11,1,4,29.68,79,"M",9,"YIUDRH5"
578,"7/5/16","2016-05-07","9:45:00","2016-05-07 11:33:18","2016-05-07 11:35:08",2,5,1,6,6,4,6,5,3,11,2,2,26.71,115,"W",8,"X6HKUK9"
579,"7/5/16","2016-05-07","9:45:00","2016-05-07 11:33:36","2016-05-07 11:36:02",3,6,3,5,5,4,6,5,4,10,2,3,20.08,25,"M",5,"TQARC9O"
580,"7/5/16","2016-05-07","9:45:00","2016-05-07 11:34:05","2016-05-07 11:37:25",2,6,1,6,6,4,7,4,NA,8,2,4,27.06,60,"W",4,"HGWBL7M"
581,"7/5/16","2016-05-07","9:45:00","2016-05-07 11:43:36","2016-05-07 11:45:16",3,3,3,3,3,4,2,6,4,10,2,4,29.88,135,"W",6,"YCJW583"
582,"7/5/16","2016-05-07","9:45:00","2016-05-07 11:44:01","2016-05-07 11:45:23",2,7,1,7,7,4,6,6,7,13,2,2,30.18,163,"M",11,"FRMQFMD"
583,"7/5/16","2016-05-07","9:45:00","2016-05-07 11:53:48","2016-05-07 11:55:51",3,7,4,7,7,3,7,3,NA,8,2,4,21.91,44,"M",9,"Z7A1WVI"
584,"7/5/16","2016-05-07","9:45:00","2016-05-07 11:59:42","2016-05-07 12:01:30",2,7,1,7,6,4,7,4,NA,9,2,4,24.4,50,"W",7,"G8ZD97M"
585,"7/5/16","2016-05-07","9:45:00","2016-05-07 12:07:55","2016-05-07 12:11:40",3,5,3,5,5,1,6,4,NA,9,2,3,35.63,64,"W",6,"RPO112V"
586,"7/5/16","2016-05-07","9:45:00","2016-05-07 12:13:20","2016-05-07 12:14:40",3,7,4,7,7,3,7,2,NA,6,2,4,29.1,103,"W",7,"06249ZB"
587,"7/5/16","2016-05-07","9:45:00","2016-05-07 12:05:57","2016-05-07 12:15:52",2,4,2,7,5,4,7,6,6,10,2,4,31.78,28,"W",8,"6EO0595"
588,"7/5/16","2016-05-07","9:45:00","2016-05-07 12:33:03","2016-05-07 12:34:38",3,5,1,3,5,4,4,4,NA,9,2,4,22.05,112,"M",5,"3LKSEZ9"
589,"7/5/16","2016-05-07","9:45:00","2016-05-07 12:36:02","2016-05-07 12:37:32",3,5,1,5,4,4,5,4,NA,8,3,1,26.76,23,"W",6,"SBDZA8L"
590,"7/5/16","2016-05-07","9:45:00","2016-05-07 13:00:00","2016-05-07 13:02:30",3,5,4,6,5,3,5,4,NA,5,2,4,34.08,272,"M",8,"VV2J8H7"
591,"7/5/16","2016-05-07","9:45:00","2016-05-07 13:07:50","2016-05-07 13:09:14",3,6,1,6,5,4,5,6,5,12,2,3,27.8,127,"M",5,"B42GXHB"
592,"7/5/16","2016-05-07","9:45:00","2016-05-07 13:17:42","2016-05-07 13:20:41",2,5,3,5,6,3,5,6,5,12,2,3,30.46,43,"W",5,"CZJSUBT"
593,"7/5/16","2016-05-07","9:45:00","2016-05-07 13:32:11","2016-05-07 13:33:37",2,6,1,6,7,4,6,6,6,12,1,3,26.76,94,"M",10,"P30MM7M"
594,"7/5/16","2016-05-07","9:45:00","2016-05-07 13:33:20","2016-05-07 13:35:00",2,7,3,7,6,4,5,5,1,9,2,3,26.55,71,"W",9,"IA1X4QH"
595,"7/5/16","2016-05-07","9:45:00","2016-05-07 13:34:18","2016-05-07 13:36:14",3,5,1,5,5,4,6,4,NA,9,2,2,20.7,87,"M",11,"58NAII0"
596,"7/5/16","2016-05-07","9:45:00","2016-05-07 13:41:17","2016-05-07 13:43:45",3,5,1,5,5,4,6,4,NA,6,1,1,30.06,307,"M",12,"IDYTNOY"
597,"7/5/16","2016-05-07","9:45:00","2016-05-07 13:41:00","2016-05-07 14:04:21",2,7,1,7,7,4,4,5,4,15,2,4,48.71,52,"W",11,"FCZLPUV"
598,"7/5/16","2016-05-07","9:45:00","2016-05-07 14:01:45","2016-05-07 14:05:12",3,7,2,7,7,4,7,5,4,8,3,1,35.18,33,"W",10,"HJHYBWK"
599,"7/5/16","2016-05-07","9:45:00","2016-05-07 14:28:32","2016-05-07 14:32:12",3,6,1,6,4,4,4,4,NA,7,1,4,28.8,53,"W",10,"U9JJJC3"
600,"7/5/16","2016-05-07","9:45:00","2016-05-07 15:10:08","2016-05-07 15:11:51",3,6,1,6,5,4,6,5,4,10,2,4,24.65,147,"W",9,"9G5J3BV"
601,"7/5/16","2016-05-07","9:45:00","2016-05-07 15:17:43","2016-05-07 15:19:08",3,6,2,6,6,1,5,1,NA,2,2,3,45.08,39,"W",6,"8YV0RBQ"
602,"7/5/16","2016-05-07","9:45:00","2016-05-07 16:18:49","2016-05-07 16:21:34",2,5,1,5,6,4,6,6,6,12,2,3,22.63,113,"M",10,"CCY9CBO"
603,"7/5/16","2016-05-07","9:45:00","2016-05-07 16:22:37","2016-05-07 16:24:02",2,6,1,6,6,4,6,5,5,12,3,3,20.26,34,"W",6,"XHRLHJ8"
604,"7/5/16","2016-05-07","9:45:00","2016-05-07 17:11:40","2016-05-07 17:13:02",2,4,1,4,5,4,4,5,4,8,1,2,32.81,136,"W",9,"572PXPF"
605,"7/5/16","2016-05-07","9:45:00","2016-05-07 18:08:09","2016-05-07 18:10:21",2,7,1,7,7,4,7,5,2,12,3,4,19.33,35,"M",6,"SEELX8V"
606,"7/5/16","2016-05-07","9:45:00","2016-05-07 19:11:52","2016-05-07 19:13:13",3,6,1,7,6,4,7,6,4,12,2,4,20.33,113,"M",5,"UW3QB7M"
607,"7/5/16","2016-05-07","9:45:00","2016-05-07 20:18:43","2016-05-07 20:22:27",3,7,3,7,7,3,7,5,2,8,2,3,28.95,75,"W",7,"16NC4JI"
608,"7/5/16","2016-05-07","9:45:00","2016-05-07 20:23:28","2016-05-07 20:26:12",3,7,3,7,7,2,7,5,4,8,3,3,30.71,35,"W",8,"GGC9JED"
609,"7/5/16","2016-05-07","9:45:00","2016-05-07 22:24:05","2016-05-07 22:25:21",3,7,1,7,7,4,6,6,3,10,2,4,28.03,123,"M",9,"1F6QBEL"
610,"7/5/16","2016-05-07","9:45:00","2016-05-07 23:44:49","2016-05-07 23:52:00",2,5,1,5,5,4,5,6,5,12,2,4,21.7,54,"M",9,"HTXZPD7"
611,"7/5/16","2016-05-07","9:45:00","2016-05-08 08:43:51","2016-05-08 08:46:36",3,4,1,5,7,4,7,6,5,12,1,3,24.18,190,"W",9,"EOC1W8E"
612,"7/5/16","2016-05-07","9:45:00","2016-05-08 14:06:38","2016-05-08 14:09:06",3,6,1,6,5,4,4,7,3,11,2,3,25.05,59,"W",4,"9OEPDL4"
613,"7/5/16","2016-05-07","9:45:00","2016-05-08 14:07:19","2016-05-08 14:09:08",3,4,3,6,5,3,7,5,2,9,2,3,29.46,55,"M",11,"OCFXODF"
614,"7/5/16","2016-05-07","9:45:00","2016-05-08 17:52:50","2016-05-08 17:54:57",2,6,1,6,6,4,7,6,4,12,2,3,21.9,40,"M",9,"Y0NMXE1"
